         puzzle,       java,     python
         5x5-26,    955.707,    228.110
         5x5-27,    925.235,    195.108
         5x5-28,     16.143,    230.896
         5x5-29,    217.540,    101.186
         5x5-30,   1034.402,     96.060
         5x5-31,        nan,    364.460
         5x5-32,    371.064,    543.777
         5x5-33,    441.030,    110.523
         5x5-34,      3.728,     98.587
         5x5-35,     37.326,    631.906
         5x5-36,     93.901,    293.630
         5x5-37,        nan,    257.460
         5x5-39,        nan,    200.406
         5x5-40,    669.805,    172.871
         5x5-41,     86.208,    108.598
         5x5-42,        nan,    325.460
         5x5-43,    668.797,     81.798
         5x5-44,        nan,   2419.867
         5x5-45,    226.486,    137.506
         5x5-46,    132.614,    144.058
         5x5-47,     53.934,    176.356
         5x5-48,        nan,    430.842
         5x5-49,        nan,    754.258
         5x5-4b,      0.346,      9.205
         5x5-50,        nan,    106.886
        5x5-535,    613.186,     64.116
        5x5-614,        nan,    103.628
        5x5-648,        nan,     49.837
        5x5-778,        nan,     61.895
         6x6-01,      0.422,   1790.865
         6x6-02,      0.692,        nan
         6x6-03,        nan,   1732.534
         6x6-04,      0.402,   8099.714
         6x6-05,      0.588,   1590.625
         6x6-06,        nan,        nan
         6x6-07,        nan,   1532.298
         6x6-08,      0.496,   1293.357
         6x6-09,        nan,   1576.442
         7x7-01,        nan,        nan
         7x7-02,        nan,        nan
         7x7-03,      0.624,        nan
         7x7-04,      0.578,        nan
         7x7-05,      0.439,        nan
         7x7-06,      0.386,        nan
         7x7-07,      0.363,        nan
         7x7-08,      0.363,        nan
         7x7-09,        nan,        nan
         7x7-10,      0.383,        nan
